,All_Seats,Torque_force,Car_Prices,Performance,Total_speed,Horse_Power,CC
759,8.0,519.0,65500.0,7.0,180,355,5300.0
760,7.0,624.0,70000.0,6.0,200,420,6200.0
761,5.0,275.0,29900.0,9.0,190,175,1500.0
762,7.0,350.0,36800.0,7.0,200,228,2000.0
763,8.0,519.0,57400.0,7.0,180,355,5300.0
764,8.0,624.0,61100.0,6.0,200,420,6200.0
765,5.0,583.0,36900.0,7.0,190,310,2700.0
766,6.0,519.0,37100.0,7.0,180,355,5300.0
767,6.0,629.0,43900.0,7.0,175,401,6600.0
768,6.0,1234.0,49000.0,7.0,175,445,6600.0
769,5.0,1000.0,108700.0,3.0,170,625,212.0
770,5.0,1000.0,105600.0,3.0,170,625,212.0
771,8.0,624.0,72800.0,6.0,200,420,6200.0
772,6.0,624.0,66800.0,6.0,190,420,6200.0
773,5.0,275.0,36500.0,9.0,190,175,1500.0
774,6.0,366.0,41400.0,7.0,210,310,3600.0
775,6.0,519.0,53800.0,7.0,180,355,5300.0
776,6.0,1234.0,72200.0,7.0,175,401,6600.0
777,5.0,583.0,45000.0,7.0,190,310,2700.0
778,5.0,583.0,43900.0,7.0,190,310,2700.0
779,5.0,583.0,48000.0,7.0,190,310,2700.0
780,8.0,624.0,93800.0,6.0,200,420,6200.0
781,5.0,275.0,38600.0,9.0,190,175,1500.0
782,7.0,366.0,54300.0,6.0,210,310,3564.0
783,8.0,519.0,71505.0,7.0,210,355,5327.0
784,8.0,519.0,73305.0,7.0,210,355,5327.0
785,5.0,569.0,52000.0,7.0,180,310,2713.0
786,5.0,519.0,56000.0,6.0,180,355,5327.0
787,5.0,629.0,70000.0,7.0,170,401,6600.0
788,5.0,629.0,72000.0,7.0,170,401,6600.0
789,5.0,259.0,36300.0,8.0,175,200,2488.0
790,5.0,373.0,44000.0,6.0,180,308,3564.0
791,5.0,624.0,80000.0,5.0,200,420,6162.0
792,7.0,624.0,82000.0,6.0,210,420,6162.0
793,5.0,275.0,28700.0,9.0,200,170,1490.0
794,7.0,366.0,45000.0,6.0,210,310,3564.0
795,5.0,15.0,96550.0,3.0,170,830,200.0
796,5.0,15.0,96550.0,3.0,170,1,200.0
797,5.0,624.0,65000.0,5.0,200,420,6162.0
798,8.0,624.0,76805.0,6.0,210,420,6162.0
799,5.0,629.0,75000.0,7.0,170,401,6600.0
800,5.0,373.0,50000.0,6.0,180,308,3564.0
801,8.0,519.0,65000.0,7.0,210,355,5327.0
802,3.0,413.0,37700.0,7.0,180,285,4300.0
803,3.0,629.0,60000.0,7.0,170,401,6600.0
804,3.0,629.0,62000.0,7.0,170,401,6600.0
805,5.0,275.0,31000.0,9.0,200,170,1490.0
806,7.0,366.0,40000.0,6.0,210,310,3564.0
807,5.0,259.0,38000.0,8.0,175,200,2488.0
808,8.0,519.0,75000.0,7.0,210,355,5327.0
809,5.0,624.0,82000.0,5.0,200,420,6162.0
810,5.0,15.0,110000.0,3.0,170,830,200.0
811,5.0,1.0,108700.0,4.0,170,754,200.0
812,5.0,15.0,112700.0,3.0,170,1,200.0
813,5.0,373.0,55000.0,6.0,180,308,3564.0
814,8.0,624.0,90000.0,6.0,210,420,6162.0
815,5.0,629.0,85000.0,7.0,170,401,6600.0
816,7.0,366.0,60000.0,6.0,210,310,3564.0
817,5.0,275.0,35000.0,9.0,200,170,1490.0
818,8.0,519.0,78000.0,7.0,210,355,5327.0
819,5.0,15.0,105000.0,3.0,170,830,200.0
820,5.0,151.0,17000.0,10.0,180,120,1591.0
821,5.0,151.0,18000.0,10.0,180,120,1591.0
822,5.0,264.0,28000.0,7.0,210,175,1591.0
823,5.0,520.0,55000.0,5.0,250,360,1599.0
824,7.0,421.0,42000.0,7.0,220,277,2500.0
825,7.0,355.0,50000.0,7.0,240,291,3778.0
826,5.0,179.0,19000.0,9.0,190,147,1999.0
827,5.0,264.0,28500.0,7.0,220,180,1591.0
828,5.0,265.0,33000.0,10.0,180,139,1591.0
829,5.0,350.0,50000.0,5.0,190,225,77.0
830,5.0,264.0,28000.0,6.0,200,201,1591.0
831,5.0,264.0,28500.0,7.0,210,175,1591.0
832,5.0,422.0,55000.0,5.0,270,300,2500.0
833,7.0,352.0,47000.0,7.0,200,227,1591.0
834,8.0,355.0,42500.0,8.0,220,290,3500.0
835,7.0,355.0,51000.0,7.0,240,291,3778.0
836,5.0,360.0,44000.0,7.0,210,225,1598.0
837,5.0,450.0,58000.0,5.0,230,320,77.0
838,5.0,265.0,33000.0,10.0,180,139,1591.0
839,5.0,264.0,25000.0,6.0,200,201,1591.0
840,5.0,179.0,23500.0,9.0,190,146,1999.0
841,5.0,360.0,42000.0,7.0,210,225,1598.0
842,7.0,246.0,35500.0,8.0,210,191,2500.0
843,7.0,355.0,44000.0,7.0,240,291,3778.0
844,5.0,179.0,22000.0,9.0,190,147,1999.0
845,5.0,179.0,18500.0,9.0,190,147,1999.0
846,5.0,264.0,29000.0,7.0,220,180,1591.0
847,8.0,355.0,39500.0,8.0,220,290,3500.0
848,5.0,350.0,46000.0,5.0,190,225,77.0
849,5.0,265.0,30000.0,10.0,180,139,1591.0
850,5.0,510.0,51500.0,4.0,270,365,3300.0
851,7.0,352.0,48000.0,7.0,200,227,1591.0
852,7.0,355.0,52000.0,7.0,240,291,3778.0
853,5.0,520.0,47000.0,6.0,235,300,1598.0
854,5.0,740.0,65000.0,3.0,260,577,77.0
855,5.0,265.0,34500.0,10.0,180,139,1591.0
856,8.0,355.0,47000.0,8.0,220,290,3500.0
857,5.0,264.0,32000.0,7.0,210,175,1591.0
858,5.0,179.0,22500.0,9.0,190,147,1999.0
859,5.0,179.0,23500.0,9.0,190,147,1999.0
860,5.0,151.0,17500.0,10.0,180,120,1591.0
861,5.0,151.0,18000.0,10.0,180,120,1591.0
862,5.0,179.0,20500.0,9.0,190,147,1999.0
863,5.0,179.0,23000.0,9.0,190,146,1999.0
864,5.0,520.0,45000.0,6.0,235,300,1599.0
865,7.0,352.0,47000.0,7.0,200,227,1591.0
866,7.0,355.0,41500.0,7.0,240,291,3778.0
867,8.0,355.0,43500.0,8.0,220,290,3500.0
868,5.0,450.0,60000.0,5.0,230,320,77.0
869,5.0,264.0,25500.0,6.0,200,201,1591.0
870,5.0,179.0,23000.0,9.0,190,147,1999.0
871,5.0,264.0,30000.0,7.0,210,175,1591.0
872,5.0,260.0,40000.0,8.0,200,136,50.0
873,7.0,355.0,53000.0,7.0,240,291,3778.0
874,5.0,422.0,50000.0,5.0,270,300,2500.0
875,8.0,355.0,45500.0,8.0,220,290,3500.0
876,5.0,265.0,36000.0,10.0,180,139,1591.0
877,5.0,450.0,62000.0,5.0,230,320,77.0
878,7.0,352.0,49000.0,7.0,200,227,1591.0
879,5.0,179.0,22500.0,9.0,190,147,1999.0
880,2.0,1600.0,3000000.0,2.0,420,1500,7993.0
881,2.0,1600.0,3300000.0,2.0,350,1500,7993.0
882,2.0,1600.0,3500000.0,2.0,490,1600,7993.0
883,2.0,1600.0,3300000.0,2.0,420,1500,7993.0
884,2.0,1600.0,3300000.0,2.0,420,1500,7993.0
885,2.0,1600.0,5800000.0,2.0,380,1500,7993.0
886,2.0,1600.0,9000000.0,2.0,380,1600,7993.0
887,2.0,1600.0,18000000.0,2.0,420,1500,7993.0
888,2.0,1600.0,4500000.0,2.0,500,1850,7993.0
889,2.0,1600.0,5000000.0,2.0,420,1600,7993.0
890,2.0,2600.0,120000.0,15.0,120,540,13000.0
891,2.0,3500.0,160000.0,14.0,120,750,16100.0
892,2.0,2200.0,100000.0,16.0,110,460,12800.0
893,2.0,2500.0,110000.0,16.0,110,500,13000.0
894,2.0,2400.0,125000.0,15.0,120,500,12800.0
895,2.0,1800.0,95000.0,17.0,110,400,12800.0
896,2.0,2500.0,120000.0,18.0,100,500,12800.0
897,2.0,1200.0,85000.0,20.0,90,280,7700.0
898,2.0,800.0,75000.0,22.0,80,180,5100.0
899,2.0,450.0,70000.0,5.0,260,335,2995.0
900,5.0,365.0,45000.0,6.0,250,250,1999.0
901,5.0,365.0,50000.0,6.0,250,250,1999.0
902,5.0,400.0,85000.0,6.0,250,300,2995.0
903,5.0,430.0,50000.0,7.0,230,200,1999.0
904,5.0,696.0,70000.0,4.0,200,400,90.0
905,5.0,365.0,0.0,7.0,230,250,1999.0
906,5.0,215.0,40000.0,9.0,215,160,1998.0
907,5.0,480.0,65000.0,5.0,250,340,1999.0
908,5.0,450.0,60000.0,5.0,250,340,1999.0
909,2.0,700.0,120000.0,3.0,320,575,5000.0
910,5.0,696.0,85000.0,4.0,200,400,90.0
911,5.0,700.0,85000.0,4.0,283,550,5000.0
912,5.0,450.0,55000.0,5.0,250,340,1999.0
913,5.0,480.0,65000.0,5.0,250,340,1999.0
914,5.0,400.0,90000.0,6.0,250,300,2995.0
915,2.0,680.0,110000.0,3.0,300,550,5000.0
916,5.0,430.0,50000.0,7.0,230,200,1999.0
917,5.0,696.0,90000.0,4.0,200,400,90.0
918,2.0,680.0,100000.0,3.0,300,550,5000.0
919,2.0,400.0,70000.0,5.0,250,300,1999.0
920,5.0,400.0,55000.0,5.0,250,300,1999.0
921,5.0,400.0,60000.0,6.0,250,250,1999.0
922,5.0,696.0,85000.0,4.0,200,400,90.0
923,5.0,365.0,60000.0,6.0,225,247,1999.0
924,5.0,430.0,55000.0,6.0,230,246,1999.0
925,5.0,400.0,80000.0,6.0,250,300,2995.0
926,2.0,680.0,100000.0,3.0,300,550,5000.0
927,5.0,480.0,65000.0,5.0,250,340,1999.0
928,5.0,365.0,50000.0,6.0,240,250,1999.0
929,2.0,460.0,80000.0,4.0,280,380,2995.0
930,5.0,400.0,55000.0,5.0,250,300,1999.0
931,5.0,450.0,60000.0,5.0,250,340,1999.0
932,2.0,680.0,100000.0,3.0,300,550,5000.0
933,5.0,696.0,85000.0,4.0,200,400,90.0
934,5.0,480.0,65000.0,5.0,250,340,1999.0
935,5.0,625.0,90000.0,4.0,280,510,5000.0
936,2.0,600.0,90000.0,4.0,290,450,5000.0
937,5.0,640.0,75000.0,5.0,220,398,1999.0
938,2.0,400.0,60000.0,5.0,250,300,1999.0
939,2.0,666.0,157000.0,2.0,307,600,3493.0
940,5.0,362.0,62000.0,5.0,250,290,3500.0
941,7.0,362.0,60000.0,6.0,190,290,3500.0
942,5.0,400.0,45000.0,6.0,210,272,1500.0
943,5.0,180.0,30000.0,6.0,200,201,2400.0
944,5.0,362.0,50000.0,5.0,250,290,3500.0
945,5.0,400.0,50000.0,6.0,210,272,1500.0
946,7.0,362.0,55000.0,6.0,190,290,3500.0
947,5.0,400.0,55000.0,6.0,210,272,1500.0
948,5.0,362.0,50000.0,5.0,250,290,3500.0
949,5.0,247.0,35000.0,6.0,210,206,2400.0
950,7.0,335.0,55000.0,6.0,190,321,3500.0
951,5.0,400.0,50000.0,6.0,210,247,1500.0
952,5.0,180.0,30000.0,6.0,200,201,2400.0
953,2.0,600.0,150000.0,3.0,300,500,3493.0
954,5.0,400.0,45000.0,6.0,210,272,1500.0
955,5.0,362.0,50000.0,5.0,250,290,3500.0
956,5.0,180.0,30000.0,6.0,200,201,2400.0
957,7.0,362.0,55000.0,6.0,190,290,3500.0
958,2.0,666.0,157000.0,2.0,307,537,3493.0
959,7.0,362.0,58000.0,6.0,190,290,3500.0
960,5.0,362.0,46000.0,5.0,250,290,3500.0
961,2.0,666.0,157000.0,2.0,307,537,3493.0
962,5.0,400.0,42000.0,6.0,210,272,1500.0
963,5.0,180.0,28000.0,6.0,200,201,2400.0
964,5.0,480.0,54000.0,5.0,250,355,3000.0
965,7.0,335.0,52000.0,6.0,190,321,3500.0
966,5.0,160.0,22000.0,10.0,180,82,1199.0
967,5.0,205.0,25000.0,9.0,190,100,1199.0
968,5.0,150.0,23500.0,10.0,185,115,1598.0
969,5.0,230.0,28000.0,8.0,200,130,1598.0
970,5.0,400.0,32000.0,7.0,210,180,1598.0
971,7.0,400.0,35000.0,9.0,200,165,1998.0
972,5.0,300.0,35500.0,8.0,235,180,1998.0
973,5.0,200.0,22500.0,12.0,160,75,1560.0
974,3.0,300.0,30000.0,10.0,180,120,1997.0
975,3.0,340.0,32000.0,11.0,160,140,2200.0
976,5.0,260.0,35000.0,8.0,150,136,50.0
977,5.0,260.0,38000.0,8.0,150,136,50.0
978,5.0,300.0,28000.0,6.0,230,208,1598.0
979,5.0,330.0,35000.0,6.0,250,270,1598.0
980,5.0,520.0,55000.0,5.0,250,360,1598.0
981,5.0,230.0,25000.0,9.0,205,130,1199.0
982,5.0,230.0,27000.0,9.0,200,130,1199.0
983,5.0,250.0,30000.0,8.0,210,180,1499.0
984,7.0,250.0,33000.0,8.0,200,180,1499.0
985,5.0,250.0,35000.0,8.0,225,180,1499.0
986,5.0,280.0,35000.0,7.0,220,200,1598.0
987,5.0,300.0,40000.0,6.0,235,225,1598.0
